City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,16.29,88,0,5.14,ZA,1699151086
1,del rio,29.3627,-100.8968,23.06,64,0,3.6,US,1699151010
2,patong,7.8961,98.2966,29.08,76,68,1.63,TH,1699151088
3,port-aux-francais,-49.35,70.2167,4.24,80,99,11.66,TF,1699151088
4,arraial do cabo,-22.9661,-42.0278,22.3,76,93,6.15,BR,1699151084
5,ust'-barguzin,53.45,108.9833,-7.42,78,67,2.35,RU,1699151089
6,puerto natales,-51.7236,-72.4875,4.58,76,8,3.19,CL,1699151089
7,waitangi,-43.9535,-176.5597,13.85,85,99,3.23,NZ,1699151090
8,tsiombe,-25.3,45.4833,20.04,77,100,5.88,MG,1699151090
9,imbituba,-28.24,-48.6703,15.01,79,0,4.92,BR,1699151091
10,vorgashor,67.5833,63.95,-6.8,90,97,7.75,RU,1699151091
11,san juan del cesar,10.7711,-73.0031,25.53,95,3,0.63,CO,1699151091
12,chibougamau,49.9168,-74.3659,-4.21,80,100,3.09,CA,1699151091
13,mabaruma,8.2,-59.7833,25.45,90,17,1.93,GY,1699151091
14,grytviken,-54.2811,-36.5092,-1.35,91,27,1.34,GS,1699151092
15,atafu village,-8.5421,-172.5159,28.5,77,39,4.68,TK,1699151092
16,ancud,-41.8697,-73.8203,8.78,90,100,1.33,CL,1699151092
17,albany,42.6001,-73.9662,8.71,77,100,0.81,US,1699150878
18,pogradec,40.9025,20.6525,9.87,84,100,3.02,AL,1699151093
19,thompson,55.7435,-97.8558,-8.91,73,100,1.54,CA,1699151093
20,puerto baquerizo moreno,-0.9,-89.6,24.58,76,69,6.12,EC,1699150795
21,lihue,21.9789,-159.3672,28.58,73,75,6.17,US,1699151093
22,mammoth lakes,37.6485,-118.9721,10.4,34,0,6.17,US,1699151094
23,adamstown,-25.066,-130.1015,22.88,77,100,4.87,PN,1699151094
24,ta'if,21.2703,40.4158,14.56,55,0,1.1,SA,1699151094
